id,country,pretty_link
5876077,Saint Vincent and the Grenadines,"<div><a href=""/places/default/view/Saint-Vincent-and-the-Grenadines-193""><img src=""/places/static/images/flags/vc.png"" /> Saint Vincent and the Grenadines</a></div>"
5876078,Samoa,"<div><a href=""/places/default/view/Samoa-194""><img src=""/places/static/images/flags/ws.png"" /> Samoa</a></div>"
5876079,San Marino,"<div><a href=""/places/default/view/San-Marino-195""><img src=""/places/static/images/flags/sm.png"" /> San Marino</a></div>"
5876080,Sao Tome and Principe,"<div><a href=""/places/default/view/Sao-Tome-and-Principe-196""><img src=""/places/static/images/flags/st.png"" /> Sao Tome and Principe</a></div>"
5876081,Saudi Arabia,"<div><a href=""/places/default/view/Saudi-Arabia-197""><img src=""/places/static/images/flags/sa.png"" /> Saudi Arabia</a></div>"
5876082,Senegal,"<div><a href=""/places/default/view/Senegal-198""><img src=""/places/static/images/flags/sn.png"" /> Senegal</a></div>"
5876083,Serbia,"<div><a href=""/places/default/view/Serbia-199""><img src=""/places/static/images/flags/rs.png"" /> Serbia</a></div>"
5876084,Serbia and Montenegro,"<div><a href=""/places/default/view/Serbia-and-Montenegro-200""><img src=""/places/static/images/flags/cs.png"" /> Serbia and Montenegro</a></div>"
5876085,Seychelles,"<div><a href=""/places/default/view/Seychelles-201""><img src=""/places/static/images/flags/sc.png"" /> Seychelles</a></div>"
5876086,Sierra Leone,"<div><a href=""/places/default/view/Sierra-Leone-202""><img src=""/places/static/images/flags/sl.png"" /> Sierra Leone</a></div>"
